iter	Passed	Remaining
0	154	154537
1	175	87683
2	196	65308
3	216	53804
4	237	47180
5	258	42836
6	278	39527
7	296	36774
8	315	34762
9	335	33249
10	353	31827
11	373	30718
12	391	29711
13	410	28883
14	428	28128
15	447	27511
16	467	27042
17	486	26536
18	504	26070
19	523	25670
20	542	25298
21	562	25007
22	582	24727
23	600	24438
24	618	24121
25	635	23803
26	654	23602
27	674	23399
28	691	23169
29	710	22976
30	728	22770
31	746	22567
32	763	22381
33	781	22197
34	799	22036
35	817	21886
36	834	21726
37	853	21598
38	871	21472
39	889	21344
40	907	21216
41	926	21125
42	944	21019
43	962	20910
44	981	20826
45	998	20711
46	1017	20627
47	1034	20513
48	1051	20413
49	1070	20339
50	1088	20251
51	1106	20173
52	1125	20102
53	1143	20032
54	1162	19966
55	1180	19895
56	1200	19855
57	1219	19804
58	1239	19766
59	1257	19705
60	1275	19641
61	1294	19582
62	1312	19517
63	1331	19468
64	1349	19416
65	1369	19374
66	1387	19327
67	1406	19283
68	1421	19184
69	1440	19138
70	1454	19034
71	1468	18921
72	1487	18892
73	1506	18851
74	1525	18812
75	1544	18780
76	1560	18702
77	1576	18633
78	1591	18556
79	1607	18481
80	1622	18405
81	1637	18327
82	1652	18252
83	1668	18196
84	1690	18197
85	1706	18135
86	1722	18073
87	1741	18049
88	1761	18033
89	1777	17968
90	1795	17936
91	1814	17911
92	1829	17839
93	1842	17757
94	1855	17680
95	1870	17610
96	1884	17539
97	1897	17461
98	1908	17373
99	1922	17298
100	1939	17263
101	1952	17191
102	1966	17125
103	1979	17056
104	1990	16968
105	2004	16908
106	2022	16880
107	2035	16810
108	2049	16750
109	2063	16694
110	2077	16637
111	2090	16577
112	2105	16529
113	2120	16482
114	2135	16435
115	2152	16405
116	2165	16342
117	2179	16291
118	2194	16248
119	2207	16189
120	2224	16159
121	2237	16100
122	2250	16042
123	2265	16002
124	2282	15975
125	2295	15923
126	2308	15866
127	2321	15812
128	2334	15764
129	2348	15715
130	2363	15675
131	2376	15627
132	2389	15578
133	2402	15524
134	2414	15469
135	2432	15450
136	2444	15400
137	2458	15358
138	2476	15341
139	2491	15303
140	2508	15282
141	2522	15239
142	2533	15185
143	2548	15150
144	2563	15114
145	2579	15090
146	2593	15052
147	2609	15024
148	2624	14989
149	2638	14950
150	2651	14905
151	2665	14868
152	2677	14824
153	2693	14798
154	2708	14768
155	2722	14729
156	2734	14681
157	2748	14645
158	2762	14611
159	2776	14574
160	2789	14536
161	2803	14502
162	2818	14471
163	2830	14428
164	2843	14390
165	2859	14364
166	2874	14336
167	2889	14307
168	2905	14287
169	2918	14248
170	2932	14218
171	2944	14176
172	2956	14133
173	2968	14092
174	2982	14058
175	2995	14024
176	3009	13994
177	3022	13959
178	3036	13926
179	3051	13900
180	3065	13872
181	3081	13848
182	3095	13819
183	3108	13785
184	3128	13780
185	3147	13773
186	3159	13736
187	3175	13716
188	3190	13692
189	3204	13660
190	3220	13639
191	3237	13622
192	3255	13612
193	3277	13617
194	3291	13589
195	3305	13561
196	3323	13546
197	3338	13523
198	3354	13502
199	3370	13482
200	3387	13467
201	3402	13443
202	3423	13439
203	3442	13432
204	3461	13422
205	3482	13422
206	3499	13405
207	3517	13392
208	3531	13364
209	3543	13331
210	3560	13312
211	3570	13269
212	3583	13241
213	3596	13210
214	3613	13193
215	3628	13171
216	3646	13156
217	3659	13127
218	3674	13105
219	3688	13075
220	3699	13039
221	3713	13013
222	3727	12988
223	3739	12955
224	3751	12920
225	3764	12892
226	3840	13076
227	3879	13135
228	3908	13158
229	3928	13151
230	3949	13149
231	3964	13122
232	3980	13103
233	3999	13091
234	4015	13071
235	4029	13046
236	4043	13017
237	4058	12994
238	4071	12963
239	4083	12931
240	4095	12897
241	4110	12876
242	4131	12869
243	4148	12852
244	4162	12826
245	4177	12804
246	4192	12780
247	4209	12765
248	4226	12746
249	4240	12721
250	4254	12695
251	4269	12674
252	4283	12646
253	4296	12617
254	4313	12602
255	4329	12581
256	4342	12553
257	4356	12528
258	4373	12511
259	4391	12497
260	4406	12477
261	4423	12459
262	4441	12447
263	4456	12423
264	4471	12400
265	4482	12367
266	4494	12339
267	4507	12312
268	4520	12283
269	4533	12256
270	4547	12231
271	4558	12199
272	4569	12167
273	4580	12136
274	4594	12111
275	4619	12116
276	4630	12086
277	4642	12057
278	4654	12028
279	4667	12003
280	4679	11973
281	4695	11956
282	4708	11929
283	4720	11900
284	4734	11876
285	4747	11852
286	4760	11827
287	4777	11810
288	4788	11780
289	4799	11751
290	4812	11725
291	4826	11702
292	4838	11675
293	4850	11648
294	4865	11628
295	4879	11604
296	4894	11586
297	4912	11572
298	4927	11551
299	4947	11543
300	4961	11521
301	4974	11497
302	4988	11476
303	5003	11456
304	5020	11439
305	5034	11418
306	5052	11405
307	5069	11389
308	5082	11365
309	5095	11342
310	5108	11317
311	5123	11297
312	5139	11279
313	5152	11256
314	5166	11235
315	5183	11219
316	5195	11194
317	5209	11173
318	5224	11153
319	5236	11127
320	5249	11104
321	5263	11082
322	5274	11055
323	5287	11031
324	5301	11010
325	5312	10984
326	5325	10960
327	5338	10938
328	5351	10913
329	5361	10886
330	5374	10862
331	5389	10843
332	5401	10819
333	5414	10797
334	5429	10778
335	5440	10752
336	5454	10731
337	5468	10711
338	5481	10687
339	5499	10675
340	5512	10653
341	5524	10628
342	5536	10605
343	5549	10582
344	5563	10562
345	5573	10535
346	5585	10510
347	5597	10486
348	5610	10465
349	5621	10440
350	5634	10418
351	5649	10399
352	5660	10375
353	5671	10350
354	5685	10329
355	5698	10309
356	5712	10288
357	5724	10266
358	5737	10244
359	5750	10223
360	5762	10199
361	5774	10177
362	5787	10155
363	5804	10141
364	5816	10119
365	5828	10097
366	5842	10077
367	5853	10053
368	5865	10030
369	5877	10008
370	5892	9989
371	5909	9976
372	5924	9959
373	5940	9942
374	5953	9922
375	5967	9902
376	5984	9889
377	5998	9870
378	6013	9853
379	6026	9833
380	6042	9817
381	6059	9802
